IP地址,端口,TLS,,数据中心,地区,城市,网络延迟,下载速度
52.151.81.2,2083,TRUE,LHR+1,LHR+1111,Europe,London,272 ms,4708 kB/s
51.107.13.85,8443,TRUE,MXP,MXP111,Europe,Milan,295 ms,4519 kB/s
4.255.56.138,443,TRUE,IAD,IAD111,North America,Ashburn,282 ms,4422 kB/s
20.185.28.234,44056,TRUE,IAD,IAD111,North America,Ashburn,241 ms,4310 kB/s
20.220.204.217,443,TRUE,YYZ,YYZ111,North America,Toronto,237 ms,3471 kB/s
20.251.168.45,2087,TRUE,CPH,CPH111,Europe,Copenhagen,305 ms,3393 kB/s
20.62.202.159,443,TRUE,IAD,IAD111,North America,Ashburn,288 ms,3333 kB/s
20.240.254.247,8443,TRUE,ARN,ARN111,Europe,Stockholm,329 ms,3272 kB/s
4.255.56.137,443,TRUE,IAD,IAD111,North America,Ashburn,271 ms,2985 kB/s
20.108.51.255,443,TRUE,LHR,LHR111,Europe,London,280 ms,2575 kB/s
20.151.142.151,8443,TRUE,YYZ,YYZ111,North America,Toronto,269 ms,2260 kB/s
51.120.240.115,8080,TRUE,CPH,CPH111,Europe,Copenhagen,294 ms,1359 kB/s
51.120.240.115,2087,TRUE,CPH,CPH111,Europe,Copenhagen,304 ms,1139 kB/s
172.190.150.25,8443,TRUE,IAD,IAD111,North America,Ashburn,270 ms,1121 kB/s
